CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
13476,Faculdade São Basílio Magno,FASBAM,Privada,Não,Sim,Não,Faculdade,4106902.0,Curitiba,PR,Em Atividade
3303,Centro Universitário Invest,UNINVEST,Privada,Não,Não,Não,Centro Universitário,5103403.0,Cuiabá,MT,Em Atividade
1099,Faculdade De Educação E Ciências Gerenciais De São Paulo,FECG-SP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
3585,Faculdade Santa Cruz,FACRUZ,Privada,Não,Não,Não,Faculdade,2612505.0,Santa Cruz Do Capibaribe,PE,Em Atividade
4584,Faculdade Facese,Não informado,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
17487,Faculdade Metropolitana Do Marajó,FAMMA,Privada,Não,Não,Não,Faculdade,1501808.0,Breves,PA,Em Atividade
24881,Faculdade Filadelfia De Tecnologia,FAFILTEC,Privada,Não,Não,Não,Faculdade,4208203.0,Itajaí,SC,Em Atividade
16395,Faculdade De Tecnologia De Carapicuiba,FATEC,Pública,Não,Não,Não,Faculdade,3510609.0,Carapicuíba,SP,Em Atividade
22472,Faculdade Arquidiocesana De Pirapora,FAP,Privada,Não,Não,Não,Faculdade,3151206.0,Pirapora,MG,Em Atividade
17014,Centro Superior De Estudos Jurídicos Carlos Drummond De Andrade,CSEJCDA,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
28988,Faculdade De Tecnologia De Votorantim,FATEC-VOT,Pública,Não,Não,Não,Faculdade,3557006.0,Votorantim,SP,Em Atividade
2474,Centro Universitário Maria Milza,UNIMAM,Privada,Não,Não,Não,Centro Universitário,2909802.0,Cruz Das Almas,BA,Em Atividade
1989,Instituto Superior De Educação Avantis,AVANTIS,Privada,Não,Não,Não,Faculdade,4202008.0,Balneário Camboriú,SC,Extinta
824,Centro Universitário De Goiatuba,UNICERRADO,Pública,Não,Não,Não,Centro Universitário,5209101.0,Goiatuba,GO,Em Atividade
21240,Faculdade Unirb - Piauí,F. UNIRB,Privada,Não,Não,Não,Faculdade,2211001.0,Teresina,PI,Em Atividade
18019,Faculdade Da Educação,FEDUC,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
176,Universidade Castelo Branco,UCB,Privada,Não,Não,Não,Universidade,3304557.0,Rio De Janeiro,RJ,Em Atividade
3649,Centro Universitário Cidade Verde,UniCV,Privada,Não,Não,Não,Centro Universitário,4115200.0,Maringá,PR,Em Atividade
1805,Centro Universitário Dos Guararapes,UNIFG,Privada,Não,Não,Não,Centro Universitário,2607901.0,Jaboatão Dos Guararapes,PE,Em Atividade
4167,Instituto De Ensino Superior Da Fupesp,IESF,Pública,Não,Não,Não,Faculdade,3536505.0,Paulínia,SP,Em Atividade
14160,Faculdade Presidente Antônio Carlos De Carmópolis,FUNEES C. de Minas,Privada,Não,Não,Não,Faculdade,3114501.0,Carmópolis De Minas,MG,Extinta
14297,Faculdade Unirb - Parnaíba,F. UNIRB,Privada,Não,Não,Não,Faculdade,2207702.0,Parnaíba,PI,Em Atividade
16964,Faculdade De Tecnologia De Horizonte,FATHOR,Privada,Não,Não,Não,Faculdade,2305233.0,Horizonte,CE,Extinta
828,Faculdade De São Lourenço,FASAMA,Privada,Não,Não,Não,Faculdade,3163706.0,São Lourenço,MG,Em Atividade
19786,Faculdade Anhanguera De Serra,FPS,Privada,Não,Não,Não,Faculdade,3205002.0,Serra,ES,Em Atividade
5313,Faculdades Unificadas De Cataguases,FUC,Privada,Não,Não,Não,Faculdade,3115300.0,Cataguases,MG,Em Atividade
1808,"Instituto Federal De Educação, Ciência E Tecnologia Do Espírito Santo",IFES,Pública,Não,Não,Não,"Instituto Federal de Educação, Ciência e Tecnologia",3205309.0,Vitória,ES,Em Atividade
24459,Faculdade Tiradentes De Goiana,FITS,Privada,Não,Não,Não,Faculdade,2606200.0,Goiana,PE,Em Atividade
386,Centro Universitário De Goiás,UNIGOIÁS,Privada,Não,Não,Não,Centro Universitário,5208707.0,Goiânia,GO,Em Atividade
14383,Faculdade Cnec De Educação De Uberaba,FACEUB,Privada,Não,Não,Não,Faculdade,3170107.0,Uberaba,MG,Em Atividade
19879,Faculdade Ipessp,IPESSP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
47,Universidade Estadual De Goiás,UEG,Pública,Não,Não,Não,Universidade,5201108.0,Anápolis,GO,Em Atividade
1977,Centro De Estudos Superiores Aprendiz,CESA,Privada,Não,Não,Não,Faculdade,3105608.0,Barbacena,MG,Em Atividade
4531,Centro Universitário Adventista De Ensino Do Nordeste,Uniaene,Privada,Não,Sim,Não,Faculdade,2904902.0,Cachoeira,BA,Em Atividade
1572,Faculdade De Ciências Sociais Aplicadas,FACISA,Privada,Não,Não,Não,Faculdade,2915601.0,Itamaraju,BA,Em Atividade
17498,Faculdade De Saúde Santo Agostinho De Vitória Da Conquista,FASA,Privada,Não,Não,Não,Faculdade,2933307.0,Vitória Da Conquista,BA,Em Atividade
21983,Faculdade Morumbi,FAMOR,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
19736,Faculdade Renovação De Arapongas,RENOVAÇÃO,Privada,Não,Não,Não,Faculdade,4101507.0,Arapongas,PR,Extinta
21446,Instituto Superior Da Convenção Nac. Das Assembleias De Deus,ISCON,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
15708,Faculdade De Tecnologia Dr. Thomaz Novelino,FATEC Franca,Pública,Não,Não,Não,Faculdade,3516200.0,Franca,SP,Em Atividade
1068,Faculdade Aldete Maria Alves,FAMA,Privada,Não,Não,Não,Faculdade,3134400.0,Iturama,MG,Em Atividade
21439,Escola De Artilharia De Costa E Antiaérea,EsCosAAe,Pública,Não,Não,Não,Instituição Especialmente Credenciada para oferta de cursos lato sensu,3304557.0,Rio De Janeiro,RJ,Em Atividade
1699,Faculdade De Educação De Jaru,FIMCA UNICENTRO,Privada,Não,Não,Não,Faculdade,1100114.0,Jaru,RO,Em Atividade
1386,Faculdade Esamc Campinas,ESAMC,Privada,Não,Não,Não,Faculdade,3509502.0,Campinas,SP,Em Atividade
